Unidades territoriales;Indicadores de renta media;Periodo;Total
Andalucía;Renta neta media por persona ;2020;10.293
Andalucía;Renta neta media por persona ;2019;10.204
Andalucía;Renta neta media por persona ;2018;9.715
Andalucía;Renta neta media por persona ;2017;9.240
Andalucía;Renta neta media por persona ;2016;8.878
Andalucía;Renta neta media por persona ;2015;8.655
Andalucía;Renta neta media por hogar;2020;27.119
Andalucía;Renta neta media por hogar;2019;27.091
Andalucía;Renta neta media por hogar;2018;25.877
Andalucía;Renta neta media por hogar;2017;24.748
Andalucía;Renta neta media por hogar;2016;23.977
Andalucía;Renta neta media por hogar;2015;23.367
Andalucía;Media de la renta por unidad de consumo;2020;15.619
Andalucía;Media de la renta por unidad de consumo;2019;15.547
Andalucía;Media de la renta por unidad de consumo;2018;14.827
Andalucía;Media de la renta por unidad de consumo;2017;14.110
Andalucía;Media de la renta por unidad de consumo;2016;13.584
Andalucía;Media de la renta por unidad de consumo;2015;13.231
Andalucía;Mediana de la renta por unidad de consumo;2020;13.650
Andalucía;Mediana de la renta por unidad de consumo;2019;13.650
Andalucía;Mediana de la renta por unidad de consumo;2018;12.950
Andalucía;Mediana de la renta por unidad de consumo;2017;12.250
Andalucía;Mediana de la renta por unidad de consumo;2016;11.550
Andalucía;Mediana de la renta por unidad de consumo;2015;10.850
Andalucía;Renta bruta media por persona;2020;12.085
Andalucía;Renta bruta media por persona;2019;11.977
Andalucía;Renta bruta media por persona;2018;11.384
Andalucía;Renta bruta media por persona;2017;10.799
Andalucía;Renta bruta media por persona;2016;10.336
Andalucía;Renta bruta media por persona;2015;10.058
Andalucía;Renta bruta media por hogar;2020;31.841
Andalucía;Renta bruta media por hogar;2019;31.800
Andalucía;Renta bruta media por hogar;2018;30.322
Andalucía;Renta bruta media por hogar;2017;28.924
Andalucía;Renta bruta media por hogar;2016;27.915
Andalucía;Renta bruta media por hogar;2015;27.154
Almería;Renta neta media por persona ;2020;9.709
Almería;Renta neta media por persona ;2019;9.436
Almería;Renta neta media por persona ;2018;9.072
Almería;Renta neta media por persona ;2017;8.569
Almería;Renta neta media por persona ;2016;8.207
Almería;Renta neta media por persona ;2015;8.029
Almería;Renta neta media por hogar;2020;26.276
Almería;Renta neta media por hogar;2019;25.698
Almería;Renta neta media por hogar;2018;24.714
Almería;Renta neta media por hogar;2017;23.399
Almería;Renta neta media por hogar;2016;22.666
Almería;Renta neta media por hogar;2015;22.039
Almería;Media de la renta por unidad de consumo;2020;14.850
Almería;Media de la renta por unidad de consumo;2019;14.480
Almería;Media de la renta por unidad de consumo;2018;13.926
Almería;Media de la renta por unidad de consumo;2017;13.184
Almería;Media de la renta por unidad de consumo;2016;12.637
Almería;Media de la renta por unidad de consumo;2015;12.323
Almería;Mediana de la renta por unidad de consumo;2020;12.950
Almería;Mediana de la renta por unidad de consumo;2019;12.250
Almería;Mediana de la renta por unidad de consumo;2018;12.250
Almería;Mediana de la renta por unidad de consumo;2017;11.550
Almería;Mediana de la renta por unidad de consumo;2016;10.850
Almería;Mediana de la renta por unidad de consumo;2015;10.150
Almería;Renta bruta media por persona;2020;11.354
Almería;Renta bruta media por persona;2019;11.043
Almería;Renta bruta media por persona;2018;10.573
Almería;Renta bruta media por persona;2017;9.992
Almería;Renta bruta media por persona;2016;9.518
Almería;Renta bruta media por persona;2015;9.304
Almería;Renta bruta media por hogar;2020;30.726
Almería;Renta bruta media por hogar;2019;30.072
Almería;Renta bruta media por hogar;2018;28.805
Almería;Renta bruta media por hogar;2017;27.283
Almería;Renta bruta media por hogar;2016;26.286
Almería;Renta bruta media por hogar;2015;25.538
Cádiz;Renta neta media por persona ;2020;10.113
Cádiz;Renta neta media por persona ;2019;10.055
Cádiz;Renta neta media por persona ;2018;9.509
Cádiz;Renta neta media por persona ;2017;9.028
Cádiz;Renta neta media por persona ;2016;8.696
Cádiz;Renta neta media por persona ;2015;8.489
Cádiz;Renta neta media por hogar;2020;27.179
Cádiz;Renta neta media por hogar;2019;27.243
Cádiz;Renta neta media por hogar;2018;25.905
Cádiz;Renta neta media por hogar;2017;24.777
Cádiz;Renta neta media por hogar;2016;24.044
Cádiz;Renta neta media por hogar;2015;23.560
Cádiz;Media de la renta por unidad de consumo;2020;15.363
Cádiz;Media de la renta por unidad de consumo;2019;15.345
Cádiz;Media de la renta por unidad de consumo;2018;14.561
Cádiz;Media de la renta por unidad de consumo;2017;13.846
Cádiz;Media de la renta por unidad de consumo;2016;13.360
Cádiz;Media de la renta por unidad de consumo;2015;13.052
Cádiz;Mediana de la renta por unidad de consumo;2020;12.950
Cádiz;Mediana de la renta por unidad de consumo;2019;13.650
Cádiz;Mediana de la renta por unidad de consumo;2018;12.250
Cádiz;Mediana de la renta por unidad de consumo;2017;11.550
Cádiz;Mediana de la renta por unidad de consumo;2016;11.550
Cádiz;Mediana de la renta por unidad de consumo;2015;10.850
Cádiz;Renta bruta media por persona;2020;11.811
Cádiz;Renta bruta media por persona;2019;11.741
Cádiz;Renta bruta media por persona;2018;11.094
Cádiz;Renta bruta media por persona;2017;10.505
Cádiz;Renta bruta media por persona;2016;10.088
Cádiz;Renta bruta media por persona;2015;9.841
Cádiz;Renta bruta media por hogar;2020;31.741
Cádiz;Renta bruta media por hogar;2019;31.811
Cádiz;Renta bruta media por hogar;2018;30.224
Cádiz;Renta bruta media por hogar;2017;28.830
Cádiz;Renta bruta media por hogar;2016;27.892
Cádiz;Renta bruta media por hogar;2015;27.311
Córdoba;Renta neta media por persona ;2020;10.314
Córdoba;Renta neta media por persona ;2019;10.182
Córdoba;Renta neta media por persona ;2018;9.710
Córdoba;Renta neta media por persona ;2017;9.290
Córdoba;Renta neta media por persona ;2016;8.892
Córdoba;Renta neta media por persona ;2015;8.614
Córdoba;Renta neta media por hogar;2020;26.462
Córdoba;Renta neta media por hogar;2019;26.299
Córdoba;Renta neta media por hogar;2018;25.246
Córdoba;Renta neta media por hogar;2017;24.379
Córdoba;Renta neta media por hogar;2016;23.541
Córdoba;Renta neta media por hogar;2015;22.879
Córdoba;Media de la renta por unidad de consumo;2020;15.458
Córdoba;Media de la renta por unidad de consumo;2019;15.318
Córdoba;Media de la renta por unidad de consumo;2018;14.635
Córdoba;Media de la renta por unidad de consumo;2017;14.022
Córdoba;Media de la renta por unidad de consumo;2016;13.436
Córdoba;Media de la renta por unidad de consumo;2015;13.039
Córdoba;Mediana de la renta por unidad de consumo;2020;12.950
Córdoba;Mediana de la renta por unidad de consumo;2019;12.950
Córdoba;Mediana de la renta por unidad de consumo;2018;12.250
Córdoba;Mediana de la renta por unidad de consumo;2017;12.250
Córdoba;Mediana de la renta por unidad de consumo;2016;11.550
Córdoba;Mediana de la renta por unidad de consumo;2015;10.850
Córdoba;Renta bruta media por persona;2020;12.019
Córdoba;Renta bruta media por persona;2019;11.874
Córdoba;Renta bruta media por persona;2018;11.317
Córdoba;Renta bruta media por persona;2017;10.802
Córdoba;Renta bruta media por persona;2016;10.300
Córdoba;Renta bruta media por persona;2015;9.948
Córdoba;Renta bruta media por hogar;2020;30.839
Córdoba;Renta bruta media por hogar;2019;30.671
Córdoba;Renta bruta media por hogar;2018;29.424
Córdoba;Renta bruta media por hogar;2017;28.347
Córdoba;Renta bruta media por hogar;2016;27.270
Córdoba;Renta bruta media por hogar;2015;26.424
Granada;Renta neta media por persona ;2020;10.463
Granada;Renta neta media por persona ;2019;10.380
Granada;Renta neta media por persona ;2018;9.885
Granada;Renta neta media por persona ;2017;9.440
Granada;Renta neta media por persona ;2016;9.090
Granada;Renta neta media por persona ;2015;8.877
Granada;Renta neta media por hogar;2020;26.373
Granada;Renta neta media por hogar;2019;26.342
Granada;Renta neta media por hogar;2018;25.190
Granada;Renta neta media por hogar;2017;24.216
Granada;Renta neta media por hogar;2016;23.542
Granada;Renta neta media por hogar;2015;23.018
Granada;Media de la renta por unidad de consumo;2020;15.608
Granada;Media de la renta por unidad de consumo;2019;15.537
Granada;Media de la renta por unidad de consumo;2018;14.828
Granada;Media de la renta por unidad de consumo;2017;14.166
Granada;Media de la renta por unidad de consumo;2016;13.666
Granada;Media de la renta por unidad de consumo;2015;13.354
Granada;Mediana de la renta por unidad de consumo;2020;12.950
Granada;Mediana de la renta por unidad de consumo;2019;12.950
Granada;Mediana de la renta por unidad de consumo;2018;12.250
Granada;Mediana de la renta por unidad de consumo;2017;12.250
Granada;Mediana de la renta por unidad de consumo;2016;11.550
Granada;Mediana de la renta por unidad de consumo;2015;11.550
Granada;Renta bruta media por persona;2020;12.274
Granada;Renta bruta media por persona;2019;12.168
Granada;Renta bruta media por persona;2018;11.555
Granada;Renta bruta media por persona;2017;11.013
Granada;Renta bruta media por persona;2016;10.566
Granada;Renta bruta media por persona;2015;10.305
Granada;Renta bruta media por hogar;2020;30.938
Granada;Renta bruta media por hogar;2019;30.878
Granada;Renta bruta media por hogar;2018;29.444
Granada;Renta bruta media por hogar;2017;28.252
Granada;Renta bruta media por hogar;2016;27.364
Granada;Renta bruta media por hogar;2015;26.719
Huelva;Renta neta media por persona ;2020;10.112
Huelva;Renta neta media por persona ;2019;9.958
Huelva;Renta neta media por persona ;2018;9.416
Huelva;Renta neta media por persona ;2017;8.948
Huelva;Renta neta media por persona ;2016;8.585
Huelva;Renta neta media por persona ;2015;8.401
Huelva;Renta neta media por hogar;2020;26.542
Huelva;Renta neta media por hogar;2019;26.398
Huelva;Renta neta media por hogar;2018;25.082
Huelva;Renta neta media por hogar;2017;23.936
Huelva;Renta neta media por hogar;2016;23.173
Huelva;Renta neta media por hogar;2015;22.595
Huelva;Media de la renta por unidad de consumo;2020;15.239
Huelva;Media de la renta por unidad de consumo;2019;15.083
Huelva;Media de la renta por unidad de consumo;2018;14.288
Huelva;Media de la renta por unidad de consumo;2017;13.589
Huelva;Media de la renta por unidad de consumo;2016;13.059
Huelva;Media de la renta por unidad de consumo;2015;12.777
Huelva;Mediana de la renta por unidad de consumo;2020;12.950
Huelva;Mediana de la renta por unidad de consumo;2019;12.950
Huelva;Mediana de la renta por unidad de consumo;2018;12.250
Huelva;Mediana de la renta por unidad de consumo;2017;11.550
Huelva;Mediana de la renta por unidad de consumo;2016;11.550
Huelva;Mediana de la renta por unidad de consumo;2015;10.850
Huelva;Renta bruta media por persona;2020;11.767
Huelva;Renta bruta media por persona;2019;11.560
Huelva;Renta bruta media por persona;2018;10.927
Huelva;Renta bruta media por persona;2017;10.357
Huelva;Renta bruta media por persona;2016;9.912
Huelva;Renta bruta media por persona;2015;9.692
Huelva;Renta bruta media por hogar;2020;30.887
Huelva;Renta bruta media por hogar;2019;30.647
Huelva;Renta bruta media por hogar;2018;29.108
Huelva;Renta bruta media por hogar;2017;27.703
Huelva;Renta bruta media por hogar;2016;26.753
Huelva;Renta bruta media por hogar;2015;26.066
Jaén;Renta neta media por persona ;2020;9.958
Jaén;Renta neta media por persona ;2019;9.758
Jaén;Renta neta media por persona ;2018;9.417
Jaén;Renta neta media por persona ;2017;9.044
Jaén;Renta neta media por persona ;2016;8.747
Jaén;Renta neta media por persona ;2015;8.318
Jaén;Renta neta media por hogar;2020;25.141
Jaén;Renta neta media por hogar;2019;24.865
Jaén;Renta neta media por hogar;2018;24.160
Jaén;Renta neta media por hogar;2017;23.408
Jaén;Renta neta media por hogar;2016;22.752
Jaén;Renta neta media por hogar;2015;21.789
Jaén;Media de la renta por unidad de consumo;2020;14.825
Jaén;Media de la renta por unidad de consumo;2019;14.656
Jaén;Media de la renta por unidad de consumo;2018;14.114
Jaén;Media de la renta por unidad de consumo;2017;13.575
Jaén;Media de la renta por unidad de consumo;2016;13.134
Jaén;Media de la renta por unidad de consumo;2015;12.511
Jaén;Mediana de la renta por unidad de consumo;2020;12.950
Jaén;Mediana de la renta por unidad de consumo;2019;12.950
Jaén;Mediana de la renta por unidad de consumo;2018;12.250
Jaén;Mediana de la renta por unidad de consumo;2017;11.550
Jaén;Mediana de la renta por unidad de consumo;2016;11.550
Jaén;Mediana de la renta por unidad de consumo;2015;10.850
Jaén;Renta bruta media por persona;2020;11.468
